URL link,Website,Title,Date
https://news.google.com/rss/articles/CBMinQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9vb3BzLWEtYnJpZWYtaGlzdG9yeS1vZi1zb21lLW9mLXRoZS1tYXJrZXRzLXdvcnN0LWZhdC1maW5nZXJzL21penVob3MtMzQ1LW1pbGxpb24tdHlwby9zbGlkZXNob3cvNjc2ODM4NzUuY21z0gEA?oc=5,Oops: A brief history of some of the marketâ€™s worst fat fingers,Mizuhoâ€™s $345 million typo,1/25/2019
https://news.google.com/rss/articles/CBMic2h0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvZGVsaGkvc2V2ZW4taGVsZC13aXRoLWZvcmV4LWFuZC1nb2xkLXdvcnRoLXJzLTJjci9hcnRpY2xlc2hvdy82NzczMTUzNS5jbXPSAXdodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L2RlbGhpL3NldmVuLWhlbGQtd2l0aC1mb3JleC1hbmQtZ29sZC13b3J0aC1ycy0yY3IvYW1wX2FydGljbGVzaG93LzY3NzMxNTM1LmNtcw?oc=5,The Times of India,Delhi: Seven held with forex and gold worth Rs 2 crore,1/29/2019
https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzQ1ZDM4MDdhLTBmNWItMTFlOS1hM2FhLTExOGM3NjFkMjc0NdIBAA?oc=5,Financial Times,Yen flash crash: what happened and why,1/3/2019
https://news.google.com/rss/articles/CBMixQFodHRwczovL3d3dy5kYWlseWZ4LmNvbS9mb3JleC9mdW5kYW1lbnRhbC9kYWlseV9icmllZmluZy9kYWlseV9waWVjZXMvc2NhbHBpbmdfcmVwb3J0LzIwMTkvMDEvMTEvRVVSVVNELVdlZWtseS1QcmljZS1PdXRsb29rLUV1cm8tUmFsbHktVGFyZ2V0cy1UdXJuLW9yLUJ1cm4tTGV2ZWwtVGVjaG5pY2FsLUNoYXJ0LUZvcmVjYXN0LU1CQ1MuaHRtbNIByQFodHRwczovL3d3dy5kYWlseWZ4LmNvbS9mb3JleC9mdW5kYW1lbnRhbC9kYWlseV9icmllZmluZy9kYWlseV9waWVjZXMvc2NhbHBpbmdfcmVwb3J0LzIwMTkvMDEvMTEvRVVSVVNELVdlZWtseS1QcmljZS1PdXRsb29rLUV1cm8tUmFsbHktVGFyZ2V0cy1UdXJuLW9yLUJ1cm4tTGV2ZWwtVGVjaG5pY2FsLUNoYXJ0LUZvcmVjYXN0LU1CQ1MuaHRtbC9hbXA?oc=5,DailyFX,EUR/USD Weekly Price Outlook: Euro Rally Targets Turn or Burn Level,1/12/2019
https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmZvcmV4ZmFjdG9yeS5jb20vdGhyZWFkLzg3MzQyOS1pbnRyb2R1Y2luZy1qYXBhbnMtbmV3LXN1cmUtZmlyZS1lYS1pcHBvbmdhY2hp0gEA?oc=5,Forex Factory,"Introducing Japan's new sure-fire, EA Ippongachi",1/23/2019
https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmFjdGlvbmZvcmV4LmNvbS9jb250cmlidXRvcnMvZnVuZGFtZW50YWwtYW5hbHlzaXMvMTYxOTI1LXRyYWRlLWhvcGVzLXJlbW92ZS1zb21lLXJpc2stb2ZmLWFoZWFkLW9mLW5mcC1yZXBvcnQv0gF-aHR0cHM6Ly93d3cuYWN0aW9uZm9yZXguY29tL2NvbnRyaWJ1dG9ycy9mdW5kYW1lbnRhbC1hbmFseXNpcy8xNjE5MjUtdHJhZGUtaG9wZXMtcmVtb3ZlLXNvbWUtcmlzay1vZmYtYWhlYWQtb2YtbmZwLXJlcG9ydC8_YW1w?oc=5,Action Forex,Trade Hopes Remove Some Risk-Off Ahead Of NFP Report,1/4/2019
https://news.google.com/rss/articles/CBMirwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9pbnRlcm5hdGlvbmFsL3dvcmxkLW5ld3Mvdm9sY2Fuby1pbi1zb3V0aGVybi1qYXBhbi1lcnVwdHMtbm8taW5qdXJpZXMtb3ItZGFtYWdlL2RlYWRsaWVzdC1tb3VudC1vbnRha2UtZXJ1cHRpb24taW4tMjAxNC9zbGlkZXNob3cvNjc1NjcxMjguY21z0gEA?oc=5,Deadliest Mount Ontake eruption in 2014,Volcano in southern Japan erupts; no injuries or damage,1/17/2019
https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmZvcmV4bGl2ZS5jb20vT3JkZXJzLyEvZm9yZXgtb3B0aW9ucy1leHBpcmllcy10b2RheS0yMDE5MDEzMNIBTWh0dHBzOi8vd3d3LmZvcmV4bGl2ZS5jb20vb3JkZXJzLyEvZm9yZXgtb3B0aW9ucy1leHBpcmllcy10b2RheS0yMDE5MDEzMC9hbXAv?oc=5,ForexLive,Forex options expiries today,1/29/2019
https://news.google.com/rss/articles/CBMivAFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFnYXppbmVzL3BhbmFjaGUvdGhlLW1vc3QtcG93ZXJmdWwtcGFzc3BvcnRzLW9mLTIwMTktamFwYW4tbGVhZHMtc2luZ2Fwb3JlLXJldGFpbnMtMm5kLXNwb3QtaW5kaWEtYXQtbm8tNzkvYXVzdHJhbGlhLWljZWxhbmQtbmV3LXplYWxhbmQvc2xpZGVzaG93LzY3NDUyOTMyLmNtc9IBAA?oc=5,"The Most Powerful Passports Of 2019: Japan Leads, Singapore Retains 2nd Spot ...","Australia, Iceland & New Zealand",1/9/2019
https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmZvcmV4bGl2ZS5jb20vbmV3cy8hL21vcmUtb24tbm9ydGgta29yZWFuLWxlYWRlci1raW0tam9uZy11bi12aXNpdC10by1jaGluYS0yMDE5MDEwONIBZWh0dHBzOi8vd3d3LmZvcmV4bGl2ZS5jb20vbmV3cy8hL21vcmUtb24tbm9ydGgta29yZWFuLWxlYWRlci1raW0tam9uZy11bi12aXNpdC10by1jaGluYS0yMDE5MDEwOC9hbXAv?oc=5,ForexLive,More on North Korean leader Kim Jong Un visit to China,1/7/2019
https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmZvcmV4bGl2ZS5jb20vbmV3cy8hL3RoZS1nYnBzLXJlbGF0aW9uc2hpcC13aXRoLXRoZS11ay1mdHNlLTEwMC0yMDE5MDEyNdIBWWh0dHBzOi8vd3d3LmZvcmV4bGl2ZS5jb20vbmV3cy8hL3RoZS1nYnBzLXJlbGF0aW9uc2hpcC13aXRoLXRoZS11ay1mdHNlLTEwMC0yMDE5MDEyNS9hbXAv?oc=5,ForexLive,The GBP's relationship with the UK FTSE 100,1/24/2019
https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vYm9ybjJpbnZlc3QuY29tL2FydGljbGVzL2NhbmFkaWFuLWRvbGxhci1qYXBhbmVzZS15ZW4tY3VycmVuY3ktcGFpci_SAQA?oc=5,Born2Invest,What to know about the CADJPY currency pair,1/29/2019
