URL link,Website,Title,Date,Article
https://news.google.com/rss/articles/CBMicGh0dHBzOi8vZnhuZXdzZ3JvdXAuY29tL2ZvcmV4LW5ld3MvaW5zdGl0dXRpb25hbC9pbnN0aXR1dGlvbmFsLWZ4LWxpcXVpZGl0eS1wbGF0Zm9ybS1zcGFyay1zeXN0ZW1zLXJhaXNlcy0xNi01bS_SAQA?oc=5,FX News Group,Institutional FX liquidity platform Spark Systems raises $16.5M,5/15/2020,"Singapore based institutional FX liquidity and tech solutions startup Spark Systems has announced additional investment in the company alongside robust volumes so far in 2020. Spark said that global banks HSBC and Citigroup will be participating in Spark’s Series B funding round, which has so far raised $16.5 million over two tranches. OSK Ventures International Bhd., a Kuala Lumpur-based investment firm, also joined the current round, which was done at a valuation of just over $70 million according to Spark Systems’ CEO Wong Joo Seng. HSBC, Citi and OSK join Goldman Sachs as investors in the company. Mr. Wong stated that the funds raised will be sufficient for the next three and a half years of operations and growth, although more investors will likely participate in the current round later this year. Wong Joo Seng, Spark Systems According to Mr. Wong “trading started to surge into late February just as the contagion spread.” Singapore has become the world’s third leading FX trading hub behind only London and New York. According to BIS data, Singapore-based FX trading volume accounts for roughly 10% of the $6 trillion plus of daily global activity in the currency markets. Spark currently provides clients with prices from global banks which have pricing systems set up in Singapore. “We are executing in Singapore on a one to two millisecond time basis,” Mr. Wong said, noting that executions in London or New York could take on the order of 380 milliseconds, so the time savings from the regional operation is substantial. Spark apparently recorded an average $5.5 billion-a-day trading volume during Q1-2020, up from $2.5 billion during the same period in 2019. But the slowing global economy is now starting to dampen activity in the second quarter, Mr. Wong said, with average trading volume sliding to $4.5 billion to $5 billion a day. “If you have GDP shrinking, if you have numerous companies that are badly affected, it will affect the level of economic activity and the amount of forex being traded,” he said. The vast majority of the firm’s trades currently involve Group-of-Ten assets, but Mr. Wong said that Spark sees opportunities for the firm to boost its capabilities in emerging-market currencies such as the Korean won, Chinese yuan, Malaysian ringgit and Indonesian rupiah. “We see Singapore as a very natural hub for corporate treasury and for emerging market currencies price discovery,” he said. “We’d like to be the center where that is being traded.”"
https://news.google.com/rss/articles/CBMicGh0dHBzOi8vZnhuZXdzZ3JvdXAuY29tL2ZvcmV4LW5ld3MvZXhlY3V0aXZlcy93aW5kc29yLWJyb2tlcnMtYWRkcy1hbG9rZXNoLWJoYXR0YWNoYXJ5YS1mcm9tLWZ4dG0taW5kaWEtYnVzLWRldi_SAQA?oc=5,FX News Group,Exclusive: Windsor Brokers adds Alokesh Bhattacharya from FXTM for India Bus Dev,6/17/2020,"FNG Exclusive… FNG has learned that Cyprus based retail FX and CFDs group Windsor Brokers has hired Alokesh Bhattacharya as Head Of Business Development for India and Sub-continent market. Based in Limassol, Cyprus, Alokesh Bhattacharya joins Windsor Brokers after four years at rival firm FXTM, where he was also Business Development Manager with a focus on India, Pakistan and Bangladesh, and building introducing broker and affiliate / partner relationships for the company in those regions. Prior he also worked in business development and sales roles with FX brokers HiWayFX, Blackwell Global, and IronFX. Windsor Brokers is one of the “original” Cyprus based retail FX brokers, dating back to 1988. The group also has licensed subsidiaries in Jordan and Belize."
https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vZnhuZXdzZ3JvdXAuY29tL2ZvcmV4LW5ld3MvcmV0YWlsLWZvcmV4L29mZnNob3JlLWZ4LWJyb2tlci1kb28tcHJpbWUtZ2V0cy1tYXVyaXRpdXMtbGljZW5zZS_SAQA?oc=5,FX News Group,Offshore FX broker Doo Prime gets Mauritius license,6/10/2020,"Doo Prime, the China-focused retail FX brokerage arm of Hong Kong based fintech firm Doo Holding, has announced that its application for The Investment Dealer (Discount Broker) Licence has been approved by the Mauritius Financial Service Commission (FSC). The Doo Holding Group also operates offshore broker Doo Prime Vanuatu Limited, Vanuatu which is regulated by the Vanuatu Financial Service Commission (VFSC). The company’s UK subsidiary Doo Clearing Limited is licensed by the UK’s Financial Conduct Authority (FCA), however by the terms of its license it may control but must not hold client money, and it is unable to act as Principal. The Doo group is controlled by Chinese national Junjie Chen. Doo Prime stated that in keeping with the rules of its license it separates client capital from the company’s funds and deposits the funds in Tier 1 banks. Doo Prime consolidates different trading assets including stocks, futures, currency, precious metals, CFDs, and other assets into one account."
https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vZnhuZXdzZ3JvdXAuY29tL2ZvcmV4LW5ld3MvcmV0YWlsLWZvcmV4L2FuZHJleS1kYXNoaW4tZm9sZHMtYWxwYXJpLWZ4dG0taW50by1uZXctZXhpbml0eS1icmFuZC_SAQA?oc=5,FX News Group,"Andrey Dashin folds Alpari, FXTM into new Exinity brand",6/23/2020,"Serial retail FX entrepreneur Andrey Dashin has announced the launch of a new company and brand called Exinity Group. The announcement indicated that Exinity will comprise the various retail businesses owned by Dashin which includes Alpari International, ForexTime (FXTM) and its soon-to-be-launched new retail offering under the Exinity name. Mr. Dashin has named one of his longtime lieutenants, Olga Rybalkina, as Exinity Group’s Chief Executive Officer. Ms. Rybalkina has been acting as CEO of Dashin’s Cyprus-based FXTM brand for the past few years. Dashin noted that the new identity reflects the group’s next phase of fintech evolution and expanded purpose: to give millennials in emerging markets the ‘Freedom to Succeed’. The move comes as a number of new online brokerage brands have launched catering specifically to younger traders. US based examples include Robinhood, Public.com, Webull and All of Us, while Australian startup Stake, which is also now targeting the UK, recently hit 100,000 users. These brands, as looks like will be the case with Exinity, have a much more mobile app focus than most of their “older” competitors, catering to a younger generation. So not surprisingly, Exinity’s founders said that they intend to launch an innovative new mobile trading and investing app in early 2021 that will allow its customers to build their own investment portfolios across a wide range of asset classes on both cash and leveraged basis. Andrey Dashin Mr. Dashin called the new chapter in the Group’s evolution: “an important milestone driving our business to further innovate, grow and expand globally to better serve current and new customers. Considering millennials will soon be the global economy’s dominant force, particularly across emerging markets, we see huge potential in providing them with greater access to financial markets. Exinity’s vision is to address the needs of this new generation, building on our more than 20-year legacy in trading and investing serving over three million clients across 180 countries.” Mr. Dashin’s retail FX exploits have been fairly successful dating back to the late 1990s when his Alpari brand was one of the first brokerages to make it big using MetaQuotes’ MT4 trading platform. However his empire has hit a few road blocks over the years. The group’s FCA-licensed entity Alpari UK went bankrupt in the Swiss Franc spike crisis of 2015, although most if not all of Alpari UK’s clients eventually got their money back. And the company, which was one of the first Retail FX brokers to receive a Bank of Russia FX license, had that license suspended in late 2018, and the brand now operates as an offshore Saint Vincent and the Grenadines company."
https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vZnhuZXdzZ3JvdXAuY29tL2ZvcmV4LW5ld3MvcmVndWxhdG9yeS9meGNtLXdpbnMtdWstc3VpdC1vdmVyLXN3aXNzLWZyYW5jLXN0b3AtbG9zcy_SAQA?oc=5,FX News Group,FXCM wins UK suit over Swiss Franc stop loss,6/23/2020,"More than five years after the fact, a number of lawsuits targeting Forex brokers over what happened in the FX markets on January 15, 2015 are finally making their way through the courts. And, most (if not all) of them are being decided in favor of the brokers. Nobody foresaw what would happen that day, as the Swiss National Bank (the country’s defacto central banking authority) surprisingly reversed course and announced that they would no longer be holding down the value of the Swiss Franc versus the Euro. That sent the Franc instantly soaring – by how much exactly remains a mystery, but in the 25-40% range – before settling up about 20% on the day, effectively moving from roughly par with the US Dollar to par with the Euro. However that one-time step function move up early in the day wiped out many traders who were short the Franc versus the EUR or USD (or anything else), especially traders using leverage as many FX traders do. And, it left a large hole in the pockets of many FX dealers, and not just B-book brokers – they had to pay the big wins of those clients fortunate enough to be long CHF, but could not collect from those clients short the CHF using leverage. A number of well known retail FX brokers went bust from the effects of that one event, including Alpari UK and LQD Markets, while FXCM narrowly avoided bankruptcy by engineering a life-saving loan from Leucadia (now Jefferies Financial Group), which gave Jefferies effective control of the company. Well that same FXCM was victorious in a lawsuit brought against the company by one of its former clients, Target Rich International Ltd. Yesterday, a UK judge dismissed Target Rich’s lawsuit against FXCM. Target Rich was seeking to recoup more than $591,000 in losses from FXCM stemming from the Swiss Franc flash crash. Target Rich had a stop loss order in place which was not executed as planned – but again, stop loss orders are only really useful if the market moves in a straight line, not in a step-function “jump”. As reported by legal news site Law360, UK High Court Judge Adrian Beltrami QC ruled that FXCM had not acted negligently nor breached its contract with Target Rich by not executing the client’s stop loss order, which again would have exited the position at a better price. Law360 reported that Judge Beltrami wrote The “scope of the claim is limited to the case that FXCM was obliged to secure, yet failed to secure, the stop loss price…. I have rejected the existence of any such duty.” Judge Beltrami called the Swiss Franc surprise move a “force majeure,” which suspends certain obligations that FXCM had to its client under normal conditions. Target Rich’s suit against FXCM was brought in December 2018. The company said it believed that the trial held in the case earlier this month was actually the first to be completed on the legal consequences of the Swiss Franc flash event. However that might have been just the UK. Other such lawsuits stemming from the events of January 15, 2015 have already been brought against FX dealers (which as we noted above were also surprised by the SNB decision, and took heavy losses because of it), several of which were decided like this one in favor of the dealer although some (like one in Hungary brought against Danish broker Saxo Bank) were resolved in favor of the client."
https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vZnhuZXdzZ3JvdXAuY29tL3VuY2F0ZWdvcml6ZWQvY21jLW1hcmtldHMtc2Vlcy0yaC0yMDIwLXJldmVudWVzLXNvYXItdG8tMTUwbS1wcm9maXRzLTU5bS_SAQA?oc=5,FX News Group,"CMC Markets sees 2H-2020 revenues soar to £150M, profits £59M",6/11/2020,"London based Retail CFDs broker CMC Markets released its full results for its 2020 fiscal year ended March 31, 2020, indicating a significant pickup in activity during the second half of the year – and in particular during the last month of the year (i.e. March 2020), in the wake of the global Covid-19 crisis. For all of Fiscal 2020, Revenues at CMC Markets (which it calls “Net operating income”, or Gross Revenues from client trading less introducing partners commissions ) came in at £252 million – with the bulk of that, £149.7 million, coming in the second half of the year. Total profit for the year at CMC was £86.9 million, with £59.4 million of that in 2H-2020. To give our readers a good sense of just how much better the second half of the year was at CMC Markets (which we’ve also seen at a number of other Retail FX and CFD brokers), the following metric is key. In the first half of Fiscal 2020 (i.e. April-September 2019) average revenue per client at CMC Markets came in at £2,047. For the full year 2020 it was £3,750. Peter Cruddas CMC Markets founder, CEO and controlling shareholder Peter Cruddas had the following to say: “During these extraordinarily difficult times, I would like to take the opportunity to convey my sympathies to everyone who has been impacted by the COVID-19 pandemic. I am extremely proud of the resilience and dedication shown by all of my colleagues at CMC, who are contributing to ensuring that our clients are able to trade throughout a period of extraordinarily high volume and volatility in global markets. The significant performance improvement in 2020 is a result of the Group’s unwavering focus on our strategic initiatives. This has delivered increased diversification of Group revenues, improved CFD client income retention and an increased number of active clients. The growing contribution of B2B revenues is also particularly pleasing and will continue to be an important part of our strategy going forward. The heightened volatility and trading activity resulting from COVID-19 has continued into the first quarter of the financial year, and CMC continue to provide clients with market leading trading platforms and client service. I am also confident that, once the financial world returns to more normal conditions, the Group will continue to build on the underlying growth that was being displayed prior to the pandemic. This, in combination with our stable dividend policy and positive trading outlook, will enable CMC to continue to deliver considerable value to all of our stakeholders.” The full release detailing CMC Market’s 2020 results can be seen here."
https://news.google.com/rss/articles/CBMic2h0dHBzOi8vZnhuZXdzZ3JvdXAuY29tL2ZvcmV4LW5ld3MvcmV0YWlsLWZvcmV4L3BsdXM1MDAtc2hhcmVob2xkZXJzLXB1bmlzaC1jb21wYW55LWZvci1ub3QtaGVkZ2luZy1zaGFyZXMtb2ZmLTQtNS_SAQA?oc=5,FX News Group,"Plus500 shareholders punish company for not hedging, shares off 4.5%",6/9/2020,"Shares of FCA-regulated CFDs broker Plus500 traded down by 4.5% on Monday, after the company issued a Q2 Trading Update. Plus500 shares actually fell by about 14% at the open yesterday, before recovering some of the losses. So what had Plus500 shareholders and traders in a knot? Plus500’s Trading Update was in our view one of the stranger ones we’ve seen of late. On the one hand, it was a glowing report of things going better than planned at Plus500, presenting metrics which would be the envy of many of its competitors. More than 100,000 new customers onboarded since the end of Q1, well ahead of expectations. Client deposit levels tripling since year-end 2019 to $488 million. And the company is on track to earn near-record Spread revenue from trading clients, $249 million in the first two months of the quarter. All in all a very rosy picture at Plus500. However the one pebble in the shoe in the report was that actual reported revenue so far in the quarter was $102 million, not $249 million. The difference? Profitable customer trades over (mainly) the first week in June ate into spread revenue to the tune of almost $150 million. Now normally customers making profitable trades should be a good thing for a broker. Even for a B-book broker such as Plus500, which takes the opposite side of clients trades. However it appears as though Plus500 was not hedging its client book, leading to the large loss for the company in early June. B-book brokers typically hope that clients’ trades offset. The trading volume at a firm such as Plus500 consists of a large number of (relatively) small trades by large numbers of clients. So, B-book brokers hope that for each client that longs the EURUSD (or S&P500 index, or Amazon CFDs, or Spot Gold….), there’s another client going short, and that way the broker is hedged. At least it is supposed to work in the aggregate, and it normally does. But on a week like last week when the market is moving in one direction (equities up up up, US Dollar down, crude oil up…) and clients all piling on in that one direction, the broker can be exposed. So, in most instances, the broker with a (heavily) unbalanced book goes outside and hedges those trades, just like a sports book would do if all its clients bet one side of a match. Many brokers actually automate that process. But apparently Plus500, either consciously or by accident, didn’t do that. (Most likely the former). The philosophy at many B-book brokers is that they may have a bad day or week once in a while, but overall there is a cost to hedging (i.e., giving up a good portion of client spread revenue to a third party) which just isn’t worth it since in the long run things will even out. Overall, it seems like traders in Plus500 stock were somewhat shocked by the size of the unhedged client gains – hence the 14% dip in LON:PLUS shares at the open – but quickly sobered up when they realized that this was likely a one-time thing, with Plus500 still being a fairly potent money making machine. And hence the recovery of most of the dip over the rest of yesterday’s trading session. Long term, revenues and profitability at retail FX brokers (whether A or B-book) tend to correlate strongly to client deposits, new clients acquired at a reasonable price, market volatility and client trading volumes. And all four of those still align quite nicely for Plus500."
https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vZnhuZXdzZ3JvdXAuY29tL2ZvcmV4LW5ld3MvcmVndWxhdG9yeS9mY2EtdHJ5aW5nLXRvLXRha2UtZG93bi1mYWtlLWNvbXBhbnktcmVnaXN0ZXItc2l0ZS_SAQA?oc=5,FX News Group,FCA trying to take down fake company register site,6/11/2020,"Well this is a new one. UK financial regulator the Financial Conduct Authority (FCA), which often issues warnings regarding clone or copycat websites of properly regulated companies it licenses, has announced that the FCA itself has been hit by a clone of sorts. The FCA issued a notice that a web domain has been set up at www.register-fca.org, which is a clone of the FCA’s financial services register. That is one of the more popular online services provided by the FCA, where anyone can search for information about FCA-licensed companies, people or products. (We here at FNG are frequent users of the site). The FCA stated that it is currently working to get the fake page taken down, but it appears to be up and running now as of the time of writing. One quick way to identify the fake site – which looks nearly identical to the FCA’s real register page at https://register.fca.org.uk/ – is that it isn’t SSL-enabled, such that it should appear as “Not Secure” in the address line of your web browser, as per above. The FCA’s site is “https” SSL enabled."
https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vZnhuZXdzZ3JvdXAuY29tL2ZvcmV4LW5ld3MvcmVndWxhdG9yeS9mb3VyLWxpY2Vuc2VkLWN5cHJ1cy1meC1icm9rZXJzLWJhbm5lZC1pbi10aGUtdWsv0gEA?oc=5,FX News Group,Four licensed Cyprus FX brokers banned in the UK,6/1/2020,"In a first-ever-of-its-kind move, UK financial regulator The FCA has removed the “passporting” rights of a number of Cyprus based, CySEC licensed retail FX brokers. The FCA noted a number of transgressions made by each of the firms when it came to engaging with UK clients, most notably the use of unauthorised celebrity endorsements on social media as part of their marketing to UK clients, and the pressuring of clients into making trades. The firms hit by the FCA’s actions are: Hoch Capital Ltd (trading as iTrader and tradeATF), Magnum FX (Cyprus) Ltd (trading as ET Finance), Rodeler Ltd (trading as 24option), and F1Markets Ltd (trading as Investous, StrattonMarkets and Europrime) The orders require the firms to stop selling CFDs to UK customers, to close existing positions with UK customers, to return UK customers’ money and to notify UK customers of the FCA’s action. License passporting is a regime put in under EU MiFID rules, which allows a financial services company which is licensed/regulated in one EU country (such as Cyprus) to automatically offer its services in other EU countries, without the need to separately license with the other countries’ national regulators. As of now, license passporting will remain in place between EU countries and the UK even following Brexit. Each of the firms noted above are entitled to seek a review of the FCA’s action. The FCA stated that these firms used social media and webpages carrying fake endorsements from celebrities to entice consumers into the scams involving CFDs. The FCA estimates that UK investors have lost hundreds of thousands of pounds in these investments. None of the firms and their operators have any actual presence in the UK, and the firms have addresses in Cyprus. The FCA took action because consumers were not provided with sufficient information as to the nature of the investments, some were pressured into making increasingly large investments in CFDs, which referenced bitcoin, foreign exchange, shares and indices, and some were even encouraged to take out credit to make the payments. It also appears that the firms had failed to pay money owed to investors, charged customers undisclosed fees and failed to tell them about the risks of trading CFDs. CFDs are complex financial investments which allow traders to speculate on the movement in prices of underlying assets and can cause heavy losses to unwary or inexperienced investors. A number of customers are known to have lost more than £100,000 to the schemes. The Cypriot-regulated firms – which were permitted to operate in the UK through a method known as passporting – must now cease all regulated activities with UK consumers. It is the first time the FCA has used its power to remove passporting rights from a firm. Mark Steward, FCA Executive Director of Enforcement and Market Oversight, said: “The FCA has removed passporting rights for these firms which effectively stops them from continuing to provide these types of products in the UK. We welcome the further action taken by the CySEC. The FCA’s investigations into the sector are continuing.” Following the FCA’s action, and on the basis of information supplied by the FCA, the Cyprus Securities and Exchange Commission (CySEC) has fully suspended the regulatory authorisations of Rodeler Ltd and Hoch Capital Ltd and partially suspended the regulatory authorisations of Magnum FX (Cyprus) Ltd and F1 Markets Ltd. The CySEC action means that Rodeler Ltd and Hoch Capital Ltd must cease all regulated activities entirely. Magnum FX (Cyprus) Ltd and F1 Markets Ltd, may only provide investment services to their existing non-UK-resident clients, and must not promote the provision of their investment services or take on new clients. They are also explicitly prohibited from providing investment services to existing or new UK resident clients"
https://news.google.com/rss/articles/CBMieGh0dHBzOi8vZnhuZXdzZ3JvdXAuY29tL2ZvcmV4LW5ld3MvZXhlY3V0aXZlcy9hdmF0cmFkZS1oaXJlcy1iZHN3aXNzLWV4ZWMtcGF0cnlrLXNjaHVsbWVpc3Rlci10by1oZWFkLW5ldy13YXJzYXctb2ZmaWNlL9IBAA?oc=5,FX News Group,AvaTrade hires BDSwiss exec Patryk Schulmeister to head new Warsaw office,6/8/2020,"Dublin, Ireland based Retail forex and CFDs broker AvaTrade has announced the opening of its eleventh office in Warsaw, Poland. AvaTrade stated that the new Polish operation will provide dedicated customer support and training in Polish, and under local regulation. Patryk Schulmeister The new office will be led by Branch Manager Patryk Schulmeister, whom AvaTrade said brings over a decade’s experience in the online media, marketing and sales fields. Mr. Schulmeister was most recently senior affiliate manager for Eastern Europe for Cyprus-based broker BDSwiss. The establishment of the new office, which follows another recent opening in Abu Dhabi, will mean AvaTrade’s Polish clients can enjoy a localised trading experience – with enhanced customer support and training in their native language and under local regulation. The new office will be led by Branch Manager Patryk Schulmeister, who brings over a decade’s experience in the online media, marketing and sales fields. Dáire Ferguson, CEO at AvaTrade, commented: “AvaTrade is committed to empowering people from across the globe to trade in a safe, innovative and reliable environment. The opening of our Polish office will see local traders benefit from a richer trading experience, backed by our best-in-class service, dedicated support and custom-made solutions to fit their trading requirements in their local language. Under Patryk’s direction, I have no doubt this new endeavour will see our Polish business go from strength to strength.” Patryk Schulmeister added: “I am thrilled to be leading AvaTrade’s Polish branch and very much look forward to contributing to the business’s growth here in Warsaw. Given AvaTrade’s success across the globe, I have no doubt its products will resonate similarly in Poland and anticipate an exciting year ahead.”"
